Starting the logger (C:\Users\philipoe\AppData\Local\Android\Sdk/platform-tools/adb logcat *:S ReactNative:V ReactNativeJS:V)...
--------- beginning of main
--------- beginning of system
10-23 18:06:50.996  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556661.5830621584;this.cur_value_ground_move:-586.8450000000003
10-23 18:06:51.147  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556664.1020212038;this.cur_value_ground_move:-575.5050000000001
10-23 18:06:51.260  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556666.5723047121;this.cur_value_ground_move:-558.9485999999997
10-23 18:06:51.398  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556668.9715219362;this.cur_value_ground_move:-545.3406000000004
10-23 18:06:51.539  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556671.3123285158;this.cur_value_ground_move:-528.3306000000002
10-23 18:06:51.665  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556673.5801217897;this.cur_value_ground_move:-509.39280000000053
10-23 18:06:51.809  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556675.7666269167;this.cur_value_ground_move:-498.1662000000006
10-23 18:06:51.962  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556677.9049432619;this.cur_value_ground_move:-479.22839999999997
10-23 18:06:52.057  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556679.9619714601;this.cur_value_ground_move:-468.79559999999947
10-23 18:06:52.180  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556681.9742181642;this.cur_value_ground_move:-454.3937999999998
10-23 18:06:52.346  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556683.9246469362;this.cur_value_ground_move:-440.5590000000002
10-23 18:06:52.516  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556685.8156915529;this.cur_value_ground_move:-422.52840000000015
10-23 18:06:52.597  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556687.6293420657;this.cur_value_ground_move:-407.10599999999977
10-23 18:06:52.723  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556689.3767938479;this.cur_value_ground_move:-389.52899999999954
10-23 18:06:52.862  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556691.0487985476;this.cur_value_ground_move:-375.0137999999997
10-23 18:06:52.999  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556692.6584985598;this.cur_value_ground_move:-360.15840000000026
10-23 18:06:53.075  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556694.2044336185;this.cur_value_ground_move:-349.6122000000005
10-23 18:06:53.197  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556695.7051004275;this.cur_value_ground_move:-335.66399999999976
10-23 18:06:53.319  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556697.1458963259;this.cur_value_ground_move:-322.0559999999996
10-23 18:06:53.439  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556698.5282815798;this.cur_value_ground_move:-308.22119999999995
10-23 18:06:53.572  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556699.8512826784;this.cur_value_ground_move:-299.3760000000002
10-23 18:06:53.708  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556701.1363168581;this.cur_value_ground_move:-279.0774000000001
10-23 18:06:53.820  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556702.3342218264;this.cur_value_ground_move:-265.1292000000003
10-23 18:06:53.961  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556703.472255884;this.cur_value_ground_move:-254.6963999999998
10-23 18:06:54.098  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556704.5655084475;this.cur_value_ground_move:-235.8719999999994
10-23 18:06:54.200  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556705.5779596193;this.cur_value_ground_move:-226.0061999999998
10-23 18:06:54.327  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556706.5480630739;this.cur_value_ground_move:-213.64559999999983
10-23 18:06:54.449  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556707.465110193;this.cur_value_ground_move:-193.6871999999994
10-23 18:06:54.580  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556708.2964883668;this.cur_value_ground_move:-180.1926000000003
10-23 18:06:54.670  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556709.0699426514;this.cur_value_ground_move:-169.1927999999998
10-23 18:06:54.799  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556709.7961816652;this.cur_value_ground_move:-158.1930000000002
10-23 18:06:54.941  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556710.4752054078;this.cur_value_ground_move:-143.11080000000038
10-23 18:06:55.063  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556711.0894906862;this.cur_value_ground_move:-124.17299999999977
10-23 18:06:55.210  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556711.6224878175;this.cur_value_ground_move:-107.73000000000047
10-23 18:06:55.339  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556712.0849054201;this.cur_value_ground_move:-92.76119999999992
10-23 18:06:55.464  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556712.4830713136;this.cur_value_ground_move:-78.58619999999974
10-23 18:06:55.597  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556712.8203927857;this.cur_value_ground_move:-68.03999999999996
10-23 18:06:55.729  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556713.1124460084;this.cur_value_ground_move:-54.318600000000515
10-23 18:06:55.853  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556713.3456018311;this.cur_value_ground_move:-35.38079999999991
10-23 18:06:56.002  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556713.4974695069;this.cur_value_ground_move:-24.154199999999946
